Date,Open,High,Low,Close,Volume
15-Mar-17,7.24,7.37,7.14,7.35,3886715
14-Mar-17,7.54,7.57,7.16,7.24,5482225
13-Mar-17,7.97,7.98,7.52,7.57,5352464
10-Mar-17,8.00,8.12,7.96,7.97,2464886
9-Mar-17,7.94,8.06,7.94,7.96,2551458
8-Mar-17,7.95,8.12,7.95,7.98,2681964
7-Mar-17,8.16,8.34,7.91,7.93,3697775
6-Mar-17,8.56,8.72,7.95,8.14,9923482
3-Mar-17,9.15,9.23,8.77,8.84,3859453
2-Mar-17,9.32,9.56,9.26,9.27,1830548
1-Mar-17,9.36,9.46,9.29,9.42,2592734
28-Feb-17,9.55,9.60,9.38,9.40,1910049
27-Feb-17,9.32,9.74,9.32,9.66,2900168
24-Feb-17,9.51,9.57,9.32,9.43,2983547
23-Feb-17,9.60,9.75,9.51,9.57,2117314
22-Feb-17,9.40,9.60,9.35,9.51,1749112
21-Feb-17,9.31,9.59,9.27,9.46,2931317
17-Feb-17,9.33,9.33,9.12,9.25,1877478
16-Feb-17,9.40,9.44,9.21,9.33,2620935
15-Feb-17,9.49,9.49,9.20,9.44,3146544
14-Feb-17,9.08,9.26,9.03,9.17,3223333
13-Feb-17,8.98,9.09,8.93,9.05,3054757
10-Feb-17,8.83,8.90,8.62,8.90,3300076
9-Feb-17,8.96,8.98,8.72,8.74,3661364
8-Feb-17,9.32,9.39,8.80,8.84,7532514
7-Feb-17,9.51,9.65,9.33,9.34,4701490
6-Feb-17,9.55,9.80,9.50,9.51,4912899
3-Feb-17,9.68,9.85,9.40,9.58,15208856
2-Feb-17,10.75,11.10,10.59,10.97,8426908
1-Feb-17,10.77,10.95,10.50,10.57,4350918
31-Jan-17,10.70,10.75,10.37,10.75,5417740
30-Jan-17,9.98,10.88,9.85,10.80,6650444
27-Jan-17,10.02,10.15,9.95,10.07,1759226
26-Jan-17,10.03,10.20,9.96,10.03,2615573
25-Jan-17,10.16,10.26,9.83,10.00,3797735
24-Jan-17,9.87,10.44,9.81,10.13,10523472
23-Jan-17,9.42,9.47,9.20,9.40,3264685
20-Jan-17,9.20,9.55,9.19,9.51,4287323
19-Jan-17,9.17,9.34,9.12,9.17,2149680
18-Jan-17,9.41,9.47,9.12,9.22,2319815
17-Jan-17,9.29,9.54,9.20,9.42,2982307
13-Jan-17,9.20,9.42,9.17,9.27,2838883
12-Jan-17,9.10,9.25,9.04,9.15,1959491
11-Jan-17,9.05,9.21,9.02,9.12,2496858
10-Jan-17,9.05,9.15,8.98,9.02,3039515
9-Jan-17,9.10,9.25,9.00,9.06,2625686
6-Jan-17,9.14,9.25,9.00,9.07,4864609
5-Jan-17,9.12,9.55,9.06,9.35,5786074
4-Jan-17,8.81,9.12,8.78,9.02,3644581
3-Jan-17,8.82,8.97,8.67,8.77,3289042
30-Dec-16,8.80,8.85,8.65,8.71,4272509
29-Dec-16,8.90,8.97,8.71,8.84,3442152
28-Dec-16,9.02,9.19,8.85,8.95,3243468
27-Dec-16,9.12,9.28,9.02,9.09,3009431
23-Dec-16,9.04,9.19,8.81,9.19,3544954
22-Dec-16,8.81,9.60,8.75,9.01,7663238
21-Dec-16,8.84,8.95,8.80,8.90,1694644
20-Dec-16,8.92,9.12,8.87,8.90,2451908
19-Dec-16,9.05,9.18,8.80,8.92,3342346
16-Dec-16,8.75,9.60,8.69,9.01,6698766
15-Dec-16,8.71,8.75,8.54,8.69,3554560
14-Dec-16,8.85,8.96,8.75,8.78,2406685
13-Dec-16,9.02,9.02,8.80,8.82,3499262
12-Dec-16,9.35,9.35,8.75,8.81,4895798
